Drug Trials Snapshots | FDA,,,,
Brand Name (Drug Trials Snapshot),Drug Name,Original Date of FDA Approval,FDA Approved Use on Original Approval Date*,Brand Name (Prescribing Information)
STIOLTO RESPIMAT,tiotropium bromide and olodaterol,"May 21, 2015",Long-term treatment of COPD,Stiolto Respimat
STRENSIQ,asfotase alfa ,"October 23, 2015 ","Treatment of perinatal, infantile and juvenile-onset hypophosphatasia (HPP) ",Strensiq 
SUNOSI,solriamfetol,"March 20, 2018",To improve wakefullness in adults with narcolepsy or obstructive sleep apnea (OSA),Sunosi
SYMDEKO,tezacaftor/ivacaftor,"February 12, 2018",For the treatment of cystic fibrosis,Symdeko
SYMPROIC,naldemedine,"March 23, 2017",Treatment for adults with constipation caused by prescription pain drugs called opioids,Symproic
TABRECTA,capmatinib,"May 6, 2020",Treatment of non-small cell lung cancer (NSCLC),Tabrecta
TAGRISSO,osimertinib ,"November 13, 2015",Treatment of patients with advanced non-small cell lung cancer (NSCLC)  ,Tagrisso 
TAKHZYRO,lanadelumab-flyo,"August 23, 2018",Prevent attacks of hereditary angioedema in people 12 years and older,Takhzyro
TALTZ,ixekizumab,"March 22, 2016",Treatment of moderate to severe plaque psoriasis in adults,Taltz
TALZENNA,talazoparib,"October 16, 2018",Treatment of adults with a specific form of breast cancer,Talzenna
TAUVID,flortaucipir F 18,"March 28, 2020",To visually detect aggregated neurofibrillary tangles in the brain of patients with Alzheimer's,Tauvid
TAVALISSE,fostamatinib disodium hexahydrate,"April 17, 2018",Treatment of  adults with low platelet count due to chronic immune thrombocytopenia (ITP),Tavalisse
TAVNEOS,avacopan,"October 7, 2021",Treatment of adults with severe active anti-neutrophil cytoplasmic autoantibody (ANCA)-associated vasculitis,Tavneos
TAZVERIK,tazemetostat,"January 23, 2020",Treatment of advanced epithelioid sarcoma,Tazverik
TECENTRIQ,atezolizumab,"May 18, 2016",Treatment of a type of bladder cancer called urothelial carcinoma,Tecentriq
TEGSEDI,inotersen,"October 5, 2018",Treatment of nerve damage in adult patients with hereditary transthyretin-mediated amyloidosis,Tegsedi
TEPEZZA,teprotumumab-trbw,"January 21, 2020",Treatment of thyroid eye disease.,Tepezza
TEPMETKO,tepotinib,"February 3, 2021",Treatment of a type of non-small cell lung cancer (NSCLC) which has a specific set of gene alterations and has spread to other parts of the body (metastatic).,Tepmetko
TEZSPIRE,Tezepelumab,"December 17, 2021",To treat severe asthma as an add-on maintenance therapy,Tezspire
TIBSOVO,ivosidenib,"July 20, 2018",Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH1 and whose disease has come back or has not improved after previous treatment(s),Tibsovo
TISSUEBLUE,Brilliant Blue G Ophthalmic Solution,"December 20, 2019",Drug used to stain the internal limiting membrane (ILM),Tissueblue
TPOXX,tecovirimat,"July 13, 2018",Treatment of smallpox disease,Tpoxx
TREMFYA,guselkumab,"July 13, 2017", treatment of moderate to severe plaque psoriasis in adults,Tremfya
TRESIBA,insulin degludec injection ,"September 25, 2015 ",Improve glucose control in adults with diabetes mellitus ,Tresiba 
TRIKAFTA,elexacaftor/tezacaftor/ivacaftor; ivacaftor,"October 21, 2019 ",Treatment of patients 12 years of age and older with the most common gene mutation that causes cystic fibrosi.,Trikafta
TRODELVY,sacituzumab govitecan-hziy,"April 22, 2020 ",Treatment of breast cancer,Trodelvy
TROGARZO,ibalizumab-uiyk,"March 6, 2018",Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults,Trogarzo
TRULANCE,plecanatide,"January 19, 2017",Treatment of chronic idiopathic constipation in adults,Trulance
TRUSELTIQ,infigratinib,"May 28, 2021",To treat cholangiocarcinoma whose disease meets certain criteria,Truseltiq
TUKYSA,tucatinib,"April 17, 2020",Treatment of breast cancer,Tukysa
TURALIO,pexidartinib,"August 2, 2019",Treatment of tenosynovial giant cell tumor,Turalio
TYMLOS,abaloparatide,"April 28, 2017",Treatment of postmenopausal women with osteoporosis who are at high risk for bone fracture,Tymlos
UBRELVY,ubrogepant,"December 23, 2019",Treatment of migraine with or without aura,UBRELVY
UKONIQ,umbralisib,"February 5, 2021",Treatment of adult patients with follicular lymphoma ,Ukoniq
UKONIQ,umbralisib,"February 5, 2021",Treatment of adult patients with marginal zone lymphoma (MZL) ,Ukoniq
ULTOMIRIS,ravulizumab-cwvz,"December 21, 2018",Treatment of paroxysmal nocturnal hemoglobinuria (PNH),Ultomiris
UNITUXIN ,dinutuximab,"March 10, 2015",Treatment of children with high-risk neuroblastoma,Unituxin
UPLIZNA,inebilizumab-cdon,"June 11, 2020",For the treatment of neuromyelitis optica spectrum disorder (NMOSD),Uplizna
UPTRAVI,selexipag,"December 21, 2015",Treatment of adults with pulmonary artery hypertension,Uptravi
VABOMERE,meropenem and vaborbactam,"August 29, 2017",Treatment of adults who have a complicated urinary tract infection (abbreviated as cUTI),Vabomere
VARUBI,rolapitant,"September 1, 2015",Prevent delayed phase chemotherapy-induced nausea and vomiting,Varubi
VEKLURY,remdesivir,"October 22, 2020",?Treatment of COVID-19,Veklury
VELTASSA,patiromer,"October 21, 2015",Treatment of hyperkalemia,Veltassa
VENCLEXTA,venetoclax,"April 11, 2016",Treatment of chronic lymphocytic leukemia (CLL),Venclexta
VERQUVO,vericiguat,"January 19, 2021",Treatment of chronic heart failure,Verquvo
VERZENIO,abemaciclib,"September 28, 2017",Treatment of specific forms of breast cancer,Verzenio
VIBERZI,eluxadoline,"May 27, 2015",Treatment of irritable bowel syndrome with diarrhea,Viberzi
VILTEPSO,viltolarsen,"August 12, 2020",For the treatment of a particular type of Duchenne muscular dystrophy (DMD).,Viltepso
VISTOGARD,uridine triacetate,"December 11, 2015",Emergency treatment of an overdose with fluorouracil or capecitabine,Vistogard
VITRAKVI,larotrectinib,"November 26, 2018",Treatment of tumors with specific biomarker,Vitrakvi
VIZIMPRO,dacomitinib,"September 27, 2018",Treatment of advanced non-small cell lung cancer,Vizimpro
VOSEVI,"sofosbuvir,velpatasvir and voxilaprevir","July 18, 2017","Treatment of adults who have a specific type of hepatitis C virus (HCV) infection, called chronic hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection ",Vosevi
VOXZOGO,vosoritide,"November 20, 2021",To improve growth in children five years of age and older with achondroplasia and open epiphyses,Voxzogo
VRAYLAR,cariprazine,"September 17, 2015",Treatment of bipolar disorder,Vraylar
VRAYLAR,cariprazine,"September 17, 2015",Treatment of schizophrenia,Vraylar
VYEPTI,eptinezumab-jjmr,"February 21, 2020",Treatment of migraines,Vyepti
VYLEESI,bremelanotide injection,"June 21, 2019",Treatment of women with hypoactive sexual desire disorder,Vyleesi
VYNDAQEL/VYNDAMAX,VYNDAQEL(tafamidis meglumine)/ VYNDAMAX (tafamidis),"May 03, 2019",?Treatment of the cardiomyopathy caused by transthyretin?mediated amyloidosis (ATTR-CM),Vyndaqel
VYONDYS 53,golodirsen,"December 12, 2019",For the treatment of a particular type of Duchenne muscular dystrophy (DMD),Vyondys 53
VYVGART,Vyvgart alfa-fcab,"December 17, 2021",For the treatment of generalized myasthenia gravis (gMG) in adult patients,Vyvgart
VYZULTA,latanoprostene bunod,"November 2, 2017 ",Reducing elevated intraocular pressure (IOP),Vyzulta
WAKIX,pitolisant,"August 14, 2019",Treatment of excessive sleepiness due to narcolepsy.,Wakix
WINLEVI,clascoterone,"August 26, 2020",For the treatment of acne vulgaris.,Winlevi
XADAGO,safinamide,"March 21, 2017",Treatment of “off episodes” in patients with Parkinson’s disease,Xadago
XCOPRI,cenobamate,"November 21, 2019",Treatment of partial-onset seizures in adult patients,Xcopri
XEGLYZE,abametapir,"July 24, 2020",Treatment of head lice,Xeglyze
XENLETA,lefamulin,"August 19, 2019",Treatment of community-acquired bacterial pneumonia (CABP),Xenleta
XEPI,ozenoxacin,"December 11,2017",treatment of impetigo due to certain bacteria,Xepi
XERAVA,eravacycline,"August 27, 2018",complicated intra-abdominal infections caused by bacteria in patients 18 years and older,Xerava
XERMELO,telotristat ethyl,"February 28, 2017",Treatment of diarrhea in adult patients with carcinoid syndrome,Xermelo
XIIDRA,lifitegrast,"July 11, 2016",Treatment of the signs and symptoms of dry eye disease.,Xiidra
XOFLUZA,baloxavir marboxil,"November 24, 2018",Treatment of the flu (influenza) in people 12 years of age and older,Xofluza
XOSPATA,gilteritinib,"November 28, 2018",Treatment of acute myeloid leukemia (AML) with a FLT3 mutation,Xospata
XPOVIO,selinexor,"July 3, 2019",Treatment of multiple myeloma,Xpovio
XURIDEN,uridine triacetate,"September 4, 2015",Treatment of patients with hereditary orotic aciduria,Xuriden
YONDELIS ,trabectedin ,"October 23, 2015 ",Treatment of certain types of advances tissue sarcoma  ,Yondelis 
YUPELRI,revefenacin,"November 9, 2018",Maintenance treatment of adults with a lung disease called COPD,Yupelri
ZEJULA,niraparib,"March 27, 2017","Treatment of adult patients with recurrent ovarian cancer, fallopian tube cancer, or primary peritoneal cancer",Zejula 
ZEMDRI,plazomicin,"June 25, 2018",Treatment of adults who have a complicated urinary tract infection,Zemdri
ZEPATIER,elbasvir and grazoprevir,"January 28, 2016",Treatment of chronic Hepatis C genotypes 1 or 4 infection,Zepatier
ZEPOSIA,ozanimod,"March 25, 2020",Treatment of multiple sclerosis,Zeposia
ZEPZELCA,lurbinectedin,"June 15, 2020",Treatment of small cell lung cancer,Zepzelca
ZINBRYTA,daclizumab,"May 27, 2016",Treatment of relapsing forms of multiple sclerosis (MS),Zinbryta
ZINPLAVA,bezlotoxumab,"October 21, 2016",Decreasing the risk of Clostridium difficile infection recurrence,Zinplava
ZOKINVY,lonafarnib,"November 20, 2020",To treat rare conditions related to premature aging,Zokinvy
ZONTIVITY,vorapaxar,"May 8, 2014",Reduction of heart attacks and stroke in high-risk patients,Zontivity
ZULRESSO,brexanolone,"March 19, 2019",Treatment of postpartum depression,Zulresso
ZURAMPIC,lesinurad,"December 22, 2015",Lowering uric acid levels in the blood of adult patients with gout,Zurampic 
ZYNLONTA,loncastuximab tesirine-lpyl,"April 23, 2021",To treat certain types of relapsed or refractory large B-cell lymphoma,Zynlonta
